Field,Subfield,Works
Agricultural and Biological Sciences,Plant Science,10387163
Agricultural and Biological Sciences,"Ecology, Evolution, Behavior and Systematics",3757018
Agricultural and Biological Sciences,Food Science,1902943
Agricultural and Biological Sciences,Insect Science,1258245
Agricultural and Biological Sciences,General Agricultural and Biological Sciences,1045982
Agricultural and Biological Sciences,Agronomy and Crop Science,782708
Agricultural and Biological Sciences,Soil Science,716689
Agricultural and Biological Sciences,Animal Science and Zoology,647342
Agricultural and Biological Sciences,Aquatic Science,532125
Agricultural and Biological Sciences,Forestry,423829
Agricultural and Biological Sciences,Horticulture,42810
