Field,Source,Works
Agricultural and Biological Sciences,PubMed,185410
Agricultural and Biological Sciences,IUCN Red List of Threatened Species,141396
Agricultural and Biological Sciences,HAL (Le Centre pour la Communication Scientifique Directe),111827
Agricultural and Biological Sciences,Zenodo (CERN European Organization for Nuclear Research),95049
Agricultural and Biological Sciences,SHILAP Revista de lepidopterología,81333
Agricultural and Biological Sciences,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas),78899
Agricultural and Biological Sciences,Figshare,71481
Agricultural and Biological Sciences,Acta Horticulturae,55800
Agricultural and Biological Sciences,Medical Entomology and Zoology,46690
Agricultural and Biological Sciences,Dialnet (Universidad de la Rioja),46034
Agricultural and Biological Sciences,Agritrop (Cirad),43254
Agricultural and Biological Sciences,SSRN Electronic Journal,42855
Agricultural and Biological Sciences,Elsevier eBooks,40407
Agricultural and Biological Sciences,Biodiversity Heritage Library (Smithsonian Institution),40194
Agricultural and Biological Sciences,The NamesforLife Abstracts,37663
Agricultural and Biological Sciences,RePEc: Research Papers in Economics,36190
Agricultural and Biological Sciences,Americanae (AECID Library),31722
Agricultural and Biological Sciences,Nature,28615
Agricultural and Biological Sciences,Journal of Animal Science,25836
Agricultural and Biological Sciences,Journal of Economic Entomology,25541
Agricultural and Biological Sciences,Socio-Environmental Systems Modeling,25405
Agricultural and Biological Sciences,Poultry Science,23107
Agricultural and Biological Sciences,IOP Conference Series Earth and Environmental Science,22852
Agricultural and Biological Sciences,HortScience,22200
Agricultural and Biological Sciences,Science,22002
Agricultural and Biological Sciences,Journal of Dairy Science,21916
Agricultural and Biological Sciences,PLoS ONE,21579
Agricultural and Biological Sciences,DergiPark (Istanbul University),21433
Agricultural and Biological Sciences,Journal of Agricultural and Food Chemistry,21066
Agricultural and Biological Sciences,Frontiers in Plant Science,20275
Agricultural and Biological Sciences,Crop Science,19313
Agricultural and Biological Sciences,Zootaxa,19252
Agricultural and Biological Sciences,PLANT PHYSIOLOGY,19117
Agricultural and Biological Sciences,Agronomy Journal,18920
Agricultural and Biological Sciences,"Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT)",18210
Agricultural and Biological Sciences,American Journal of Botany,17592
Agricultural and Biological Sciences,Scientific Reports,16993
Agricultural and Biological Sciences,Food Chemistry,16841
Agricultural and Biological Sciences,Plant Disease,16389
Agricultural and Biological Sciences,Shodhganga,15130
Agricultural and Biological Sciences,International Journal of Current Microbiology and Applied Sciences,14905
Agricultural and Biological Sciences,Plant and Soil,14146
Agricultural and Biological Sciences,New Phytologist,14144
Agricultural and Biological Sciences,Journal of Food Science,13982
Agricultural and Biological Sciences,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),13752
Agricultural and Biological Sciences,The Medical Journal of Australia,13579
Agricultural and Biological Sciences,Global Biodiversity Information Facility,13504
Agricultural and Biological Sciences,Harvard Dataverse,13380
Agricultural and Biological Sciences,Research Square (Research Square),12949
Agricultural and Biological Sciences,Agronomy,12915
Agricultural and Biological Sciences,Veterinary Record,12894
Agricultural and Biological Sciences,Plants,12805
Agricultural and Biological Sciences,Journal of the Science of Food and Agriculture,12685
Agricultural and Biological Sciences,Journal of Experimental Botany,11895
Agricultural and Biological Sciences,Phytopathology,11750
Agricultural and Biological Sciences,Faculty Opinions – Post-Publication Peer Review of the Biomedical Literature,11604
Agricultural and Biological Sciences,Europe PMC (PubMed Central),11352
Agricultural and Biological Sciences,Scientia Horticulturae,10673
Agricultural and Biological Sciences,Anhui nongye kexue,10593
Agricultural and Biological Sciences,Phytochemistry,10558
Agricultural and Biological Sciences,Physiologia Plantarum,10440
Agricultural and Biological Sciences,Foods,10202
Agricultural and Biological Sciences,Annals of Botany,10195
Agricultural and Biological Sciences,International Journal of Molecular Sciences,9704
Agricultural and Biological Sciences,Aquaculture,9691
Agricultural and Biological Sciences,Journal of Pharmacognosy and Phytochemistry,9432
Agricultural and Biological Sciences,Proceedings of the National Academy of Sciences,9387
Agricultural and Biological Sciences,"Organic Eprints (International Centre for Research in Organic Food Systems, and Research Institute of Organic Agriculture)",9233
Agricultural and Biological Sciences,The Canadian Entomologist,9199
Agricultural and Biological Sciences,Botanical Gazette,9152
Agricultural and Biological Sciences,Oxford University Press eBooks,9066
Agricultural and Biological Sciences,LWT,8906
Agricultural and Biological Sciences,Australian Veterinary Journal,8825
Agricultural and Biological Sciences,Taxon,8818
Agricultural and Biological Sciences,Cambridge University Press eBooks,8747
Agricultural and Biological Sciences,Frontiers in Microbiology,8674
Agricultural and Biological Sciences,infoteca-e (Brazilian Agricultural Research Corporation),8645
Agricultural and Biological Sciences,Planta,8507
Agricultural and Biological Sciences,Annals of the Entomological Society of America,8494
Agricultural and Biological Sciences,Theoretical and Applied Genetics,8409
Agricultural and Biological Sciences,Sustainability,8272
Agricultural and Biological Sciences,Open Repository and Bibliography (University of Liège),8265
Agricultural and Biological Sciences,The Quarterly Review of Biology,8187
Agricultural and Biological Sciences,OakTrust (Texas A&M University Libraries),8168
Agricultural and Biological Sciences,Euphytica,8113
Agricultural and Biological Sciences,The Bryologist,8111
Agricultural and Biological Sciences,Plant Systematics and Evolution,8051
Agricultural and Biological Sciences,Annals and Magazine of Natural History,7997
Agricultural and Biological Sciences,The American Naturalist,7915
Agricultural and Biological Sciences,Evolution,7860
Agricultural and Biological Sciences,Applied and Environmental Microbiology,7845
Agricultural and Biological Sciences,International Journal of Biological Macromolecules,7828
Agricultural and Biological Sciences,Preprints.org,7776
Agricultural and Biological Sciences,Phytotaxa,7774
Agricultural and Biological Sciences,Annals of Applied Biology,7746
Agricultural and Biological Sciences,Environmental Entomology,7738
Agricultural and Biological Sciences,CABI eBooks,7688
Agricultural and Biological Sciences,Soil Biology and Biochemistry,7567
Agricultural and Biological Sciences,Data Archiving and Networked Services (DANS),7552
Agricultural and Biological Sciences,Molecules,7526
Agricultural and Biological Sciences,Madras Agricultural Journal,7516
Agricultural and Biological Sciences,Canadian Journal of Botany,7481
Agricultural and Biological Sciences,Animals,7441
Agricultural and Biological Sciences,The Journal of Agricultural Science,7317
Agricultural and Biological Sciences,Mycologia,7316
Agricultural and Biological Sciences,Soil Science Society of America Journal,7307
Agricultural and Biological Sciences,Insecta mundi,7233
Agricultural and Biological Sciences,Journal of the American Society for Horticultural Science,7213
Agricultural and Biological Sciences,Canadian Journal of Plant Science,7205
Agricultural and Biological Sciences,Food Research International,7166
Agricultural and Biological Sciences,Astronomische Nachrichten,7114
Agricultural and Biological Sciences,Food Hydrocolloids,7104
Agricultural and Biological Sciences,SPIRE - Sciences Po Institutional REpository,7072
Agricultural and Biological Sciences,Digital Commons - USU (Utah State University),7068
Agricultural and Biological Sciences,UA Campus Repository (The University of Arizona),7059
Agricultural and Biological Sciences,The Plant Journal,7040
Agricultural and Biological Sciences,Plant and Cell Physiology,7035
Agricultural and Biological Sciences,Planta Medica,7024
Agricultural and Biological Sciences,International Journal of Chemical Studies,7022
Agricultural and Biological Sciences,The Indian Journal of Agricultural Sciences,7009
Agricultural and Biological Sciences,Scientific American,6943
Agricultural and Biological Sciences,Meat Science,6936
Agricultural and Biological Sciences,The Science of The Total Environment,6869
Agricultural and Biological Sciences,Arthropod management tests,6845
Agricultural and Biological Sciences,Agriculture,6799
Agricultural and Biological Sciences,European Food Research and Technology,6780
Agricultural and Biological Sciences,Animal Feed Science and Technology,6721
Agricultural and Biological Sciences,Journal of Plant Nutrition,6703
Agricultural and Biological Sciences,Ecology,6665
Agricultural and Biological Sciences,Field Crops Research,6576
Agricultural and Biological Sciences,The Plant Cell,6469
Agricultural and Biological Sciences,Pesquisa Agropecuária Brasileira,6412
Agricultural and Biological Sciences,AIP conference proceedings,6299
Agricultural and Biological Sciences,Animal Behaviour,6188
Agricultural and Biological Sciences,Ghent University Academic Bibliography (Ghent University),6162
Agricultural and Biological Sciences,Notes and Queries,6160
Agricultural and Biological Sciences,Feddes Repertorium,6026
Agricultural and Biological Sciences,Crop Protection,6010
Agricultural and Biological Sciences,Plant Pathology,5950
Agricultural and Biological Sciences,EFSA Journal,5923
Agricultural and Biological Sciences,Agriculture Ecosystems & Environment,5904
Agricultural and Biological Sciences,Iowa State University Digital Repository (Iowa State University),5875
Agricultural and Biological Sciences,Journal of Phytopathology,5863
Agricultural and Biological Sciences,BMC Plant Biology,5838
Agricultural and Biological Sciences,Plant Physiology and Biochemistry,5825
Agricultural and Biological Sciences,The Keep (Eastern Illinois University),5806
Agricultural and Biological Sciences,Entomologia Experimentalis et Applicata,5794
