Field,Source,Works
"Biochemistry, Genetics and Molecular Biology",PubMed,743952
"Biochemistry, Genetics and Molecular Biology",Figshare,116315
"Biochemistry, Genetics and Molecular Biology",Journal of Biological Chemistry,115980
"Biochemistry, Genetics and Molecular Biology",Elsevier eBooks,71437
"Biochemistry, Genetics and Molecular Biology",Cancer Research,68226
"Biochemistry, Genetics and Molecular Biology",Proceedings of the National Academy of Sciences,64967
"Biochemistry, Genetics and Molecular Biology",Faculty Opinions – Post-Publication Peer Review of the Biomedical Literature,64646
"Biochemistry, Genetics and Molecular Biology",PLoS ONE,63245
"Biochemistry, Genetics and Molecular Biology",Zenodo (CERN European Organization for Nuclear Research),50398
"Biochemistry, Genetics and Molecular Biology",Biochemical and Biophysical Research Communications,50207
"Biochemistry, Genetics and Molecular Biology",Nature,49111
"Biochemistry, Genetics and Molecular Biology",ChemInform,46221
"Biochemistry, Genetics and Molecular Biology",Scientific Reports,44618
"Biochemistry, Genetics and Molecular Biology",Biophysical Journal,44257
"Biochemistry, Genetics and Molecular Biology",The FASEB Journal,44039
"Biochemistry, Genetics and Molecular Biology",HAL (Le Centre pour la Communication Scientifique Directe),43533
"Biochemistry, Genetics and Molecular Biology",Nucleic Acids Research,42310
"Biochemistry, Genetics and Molecular Biology",Biochemistry,41454
"Biochemistry, Genetics and Molecular Biology",Medical Entomology and Zoology,40922
"Biochemistry, Genetics and Molecular Biology",Harvard Dataverse,37587
"Biochemistry, Genetics and Molecular Biology",Science,36390
"Biochemistry, Genetics and Molecular Biology",SHILAP Revista de lepidopterología,34606
"Biochemistry, Genetics and Molecular Biology",International Journal of Molecular Sciences,34413
"Biochemistry, Genetics and Molecular Biology",IUCN Red List of Threatened Species,33573
"Biochemistry, Genetics and Molecular Biology",Methods in molecular biology,32132
"Biochemistry, Genetics and Molecular Biology",FEBS Letters,31994
"Biochemistry, Genetics and Molecular Biology",Journal of Bacteriology,29180
"Biochemistry, Genetics and Molecular Biology",arXiv (Cornell University),28340
"Biochemistry, Genetics and Molecular Biology",SSRN Electronic Journal,28088
"Biochemistry, Genetics and Molecular Biology",Research Square (Research Square),26549
"Biochemistry, Genetics and Molecular Biology",Journal of the American Chemical Society,26482
"Biochemistry, Genetics and Molecular Biology",Blood,25575
"Biochemistry, Genetics and Molecular Biology",The NamesforLife Abstracts,25025
"Biochemistry, Genetics and Molecular Biology",Journal of Clinical Oncology,24137
"Biochemistry, Genetics and Molecular Biology",Chemischer Informationsdienst,23448
"Biochemistry, Genetics and Molecular Biology",Nature Communications,22741
"Biochemistry, Genetics and Molecular Biology",Journal of Molecular Biology,22272
"Biochemistry, Genetics and Molecular Biology",LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas),22236
"Biochemistry, Genetics and Molecular Biology",Molecular and Cellular Biology,22180
"Biochemistry, Genetics and Molecular Biology",Gastroenterology,22022
"Biochemistry, Genetics and Molecular Biology",Investigative Ophthalmology & Visual Science,21574
"Biochemistry, Genetics and Molecular Biology",Biochemical Journal,21440
"Biochemistry, Genetics and Molecular Biology",Reactions Weekly,19392
"Biochemistry, Genetics and Molecular Biology",The Lancet,19381
"Biochemistry, Genetics and Molecular Biology",Definitions,18446
"Biochemistry, Genetics and Molecular Biology",The Journal of Cell Biology,18202
"Biochemistry, Genetics and Molecular Biology",European Journal of Biochemistry,16926
"Biochemistry, Genetics and Molecular Biology",Archives of Biochemistry and Biophysics,16917
"Biochemistry, Genetics and Molecular Biology",Tetrahedron Letters,16143
"Biochemistry, Genetics and Molecular Biology",The Journal of Immunology,15789
"Biochemistry, Genetics and Molecular Biology",Methods in enzymology on CD-ROM/Methods in enzymology,15523
"Biochemistry, Genetics and Molecular Biology",Gene,15413
"Biochemistry, Genetics and Molecular Biology",Bioinformatics,15275
"Biochemistry, Genetics and Molecular Biology",Biochemical Society Transactions,14919
"Biochemistry, Genetics and Molecular Biology",Cell,14542
"Biochemistry, Genetics and Molecular Biology",Analytical Biochemistry,14510
"Biochemistry, Genetics and Molecular Biology",Phytochemistry,14455
"Biochemistry, Genetics and Molecular Biology",Analytical Chemistry,14275
"Biochemistry, Genetics and Molecular Biology",Dialnet (Universidad de la Rioja),14120
"Biochemistry, Genetics and Molecular Biology",Journal of Cell Science,13964
"Biochemistry, Genetics and Molecular Biology",Humana Press eBooks,13696
"Biochemistry, Genetics and Molecular Biology",Genetics,13567
"Biochemistry, Genetics and Molecular Biology",Lecture notes in computer science,13564
"Biochemistry, Genetics and Molecular Biology",Molecular Therapy,13557
"Biochemistry, Genetics and Molecular Biology",The EMBO Journal,13467
"Biochemistry, Genetics and Molecular Biology",Annals of the New York Academy of Sciences,13421
"Biochemistry, Genetics and Molecular Biology",Experimental Cell Research,13364
"Biochemistry, Genetics and Molecular Biology",Development,13261
"Biochemistry, Genetics and Molecular Biology",FEMS Microbiology Letters,13142
"Biochemistry, Genetics and Molecular Biology",Advances in experimental medicine and biology,13088
"Biochemistry, Genetics and Molecular Biology",Developmental Biology,12789
"Biochemistry, Genetics and Molecular Biology",Journal of Medicinal Chemistry,12672
"Biochemistry, Genetics and Molecular Biology",PLANT PHYSIOLOGY,12331
"Biochemistry, Genetics and Molecular Biology",Biochemical Pharmacology,12147
"Biochemistry, Genetics and Molecular Biology",Molecules,11961
