Field,Source,Works
"Economics, Econometrics and Finance",SSRN Electronic Journal,272734
"Economics, Econometrics and Finance",RePEc: Research Papers in Economics,261611
"Economics, Econometrics and Finance",PubMed,115204
"Economics, Econometrics and Finance",Columbia Academic Commons (Columbia University),65007
"Economics, Econometrics and Finance",Dialnet (Universidad de la Rioja),50769
"Economics, Econometrics and Finance",Medical Entomology and Zoology,43519
"Economics, Econometrics and Finance",SHILAP Revista de lepidopterología,33454
"Economics, Econometrics and Finance",arXiv (Cornell University),32812
"Economics, Econometrics and Finance",Cambridge University Press eBooks,32032
"Economics, Econometrics and Finance",Econstor (Econstor),30335
"Economics, Econometrics and Finance",Palgrave Macmillan UK eBooks,29734
"Economics, Econometrics and Finance",Zenodo (CERN European Organization for Nuclear Research),29369
"Economics, Econometrics and Finance",Edward Elgar Publishing eBooks,24269
"Economics, Econometrics and Finance",HAL (Le Centre pour la Communication Scientifique Directe),23689
"Economics, Econometrics and Finance",Oxford University Press eBooks,21903
"Economics, Econometrics and Finance",Harvard Dataverse,21148
"Economics, Econometrics and Finance",University of Zagreb University Computing Centre (SRCE),20876
"Economics, Econometrics and Finance",Value in Health,18861
"Economics, Econometrics and Finance",Data Archiving and Networked Services (DANS),16773
"Economics, Econometrics and Finance",LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas),16199
"Economics, Econometrics and Finance",JAMA,13855
"Economics, Econometrics and Finance",The COCOON platform (University of Paris),13500
"Economics, Econometrics and Finance",Figshare,12790
"Economics, Econometrics and Finance",Elsevier eBooks,12622
"Economics, Econometrics and Finance",Munich Personal RePEc Archive (Ludwig Maximilian University of Munich),12590
"Economics, Econometrics and Finance",Notes and Queries,10302
"Economics, Econometrics and Finance",The Lancet,10138
"Economics, Econometrics and Finance",BMJ,9693
"Economics, Econometrics and Finance",The Economic Journal,9337
"Economics, Econometrics and Finance",Emerald expert briefings,9145
"Economics, Econometrics and Finance",Economics Letters,8745
"Economics, Econometrics and Finance",Who Was Who,8462
"Economics, Econometrics and Finance",The Journal of Finance,8441
"Economics, Econometrics and Finance",Choice Reviews Online,8331
"Economics, Econometrics and Finance",DergiPark (Istanbul University),8059
"Economics, Econometrics and Finance",Applied Economics,8049
"Economics, Econometrics and Finance",PsycEXTRA Dataset,7864
"Economics, Econometrics and Finance",Hrčak Portal of scientific journals of Croatia (University Computing Centre),7796
"Economics, Econometrics and Finance",Sustainability,7715
"Economics, Econometrics and Finance",Princeton University Press eBooks,7509
"Economics, Econometrics and Finance",Journal of Political Economy,7168
"Economics, Econometrics and Finance",Americanae (AECID Library),6955
"Economics, Econometrics and Finance",IMF Working Paper,6268
"Economics, Econometrics and Finance",WORLD SCIENTIFIC eBooks,6000
"Economics, Econometrics and Finance",eYLS (Yale Law School),5907
"Economics, Econometrics and Finance","World Bank, Washington, DC eBooks",5884
"Economics, Econometrics and Finance",Shodhganga,5859
"Economics, Econometrics and Finance",Oxford Dictionary of National Biography,5769
"Economics, Econometrics and Finance",Applied Economics Letters,5700
"Economics, Econometrics and Finance",KTH Publication Database DiVA (KTH Royal Institute of Technology),5678
"Economics, Econometrics and Finance",Southern Economic Journal,5638
