Field,Subfield,Works
Physics and Astronomy,Nuclear and High Energy Physics,12244820
Physics and Astronomy,Astronomy and Astrophysics,4468198
Physics and Astronomy,"Atomic and Molecular Physics, and Optics",4203020
Physics and Astronomy,Condensed Matter Physics,1354617
Physics and Astronomy,Statistical and Nonlinear Physics,1011235
Physics and Astronomy,Radiation,731308
Physics and Astronomy,Instrumentation,390769
Physics and Astronomy,Acoustics and Ultrasonics,25083
Agricultural and Biological Sciences,Plant Science,10387163
Agricultural and Biological Sciences,"Ecology, Evolution, Behavior and Systematics",3757018
Agricultural and Biological Sciences,Food Science,1902943
Agricultural and Biological Sciences,Insect Science,1258245
Agricultural and Biological Sciences,General Agricultural and Biological Sciences,1045982
Agricultural and Biological Sciences,Agronomy and Crop Science,782708
Agricultural and Biological Sciences,Soil Science,716689
Agricultural and Biological Sciences,Animal Science and Zoology,647342
Agricultural and Biological Sciences,Aquatic Science,532125
Agricultural and Biological Sciences,Forestry,423829
Agricultural and Biological Sciences,Horticulture,42810
"Biochemistry, Genetics and Molecular Biology",Molecular Biology,10338404
"Biochemistry, Genetics and Molecular Biology",Genetics,3682311
"Biochemistry, Genetics and Molecular Biology",Biophysics,1385411
"Biochemistry, Genetics and Molecular Biology",Cell Biology,1108825
"Biochemistry, Genetics and Molecular Biology",Cancer Research,1021350
"Biochemistry, Genetics and Molecular Biology",Biotechnology,507971
"Biochemistry, Genetics and Molecular Biology",Biochemistry,400235
"Biochemistry, Genetics and Molecular Biology",Endocrinology,386089
"Biochemistry, Genetics and Molecular Biology",Clinical Biochemistry,316435
"Biochemistry, Genetics and Molecular Biology",Physiology,235136
"Biochemistry, Genetics and Molecular Biology",Molecular Medicine,221180
"Biochemistry, Genetics and Molecular Biology",Structural Biology,198863
"Biochemistry, Genetics and Molecular Biology",Developmental Biology,92654
"Biochemistry, Genetics and Molecular Biology",Aging,76872
"Economics, Econometrics and Finance",Economics and Econometrics,8342070
"Economics, Econometrics and Finance",Finance,1257085
"Economics, Econometrics and Finance","General Economics, Econometrics and Finance",970639
