Field,Source,Works
Physics and Astronomy,arXiv (Cornell University),409029
Physics and Astronomy,The Astrophysical Journal,118870
Physics and Astronomy,Physical Review Letters,94100
Physics and Astronomy,Zenodo (CERN European Organization for Nuclear Research),83026
Physics and Astronomy,Monthly Notices of the Royal Astronomical Society,80450
Physics and Astronomy,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),79307
Physics and Astronomy,Bulletin of the American Physical Society,68927
Physics and Astronomy,"Proceedings of SPIE, the International Society for Optical Engineering/Proceedings of SPIE",63961
Physics and Astronomy,Physics Letters B,60256
Physics and Astronomy,The Journal of Chemical Physics,59294
Physics and Astronomy,"Physical review. B, Condensed matter",58862
Physics and Astronomy,AIP conference proceedings,58575
Physics and Astronomy,Astronomy and Astrophysics,49332
Physics and Astronomy,Applied Physics Letters,43785
Physics and Astronomy,Journal of Applied Physics,43460
Physics and Astronomy,Journal of High Energy Physics,43057
Physics and Astronomy,Nature,42423
Physics and Astronomy,Journal of Physics Conference Series,39543
Physics and Astronomy,"Physical review. D. Particles, fields, gravitation, and cosmology/Physical review. D. Particles and fields",39263
Physics and Astronomy,Physical review. D/Physical review. D.,38847
Physics and Astronomy,Physical Review A,38638
Physics and Astronomy,Physical Review B,36945
Physics and Astronomy,Benezit Dictionary of Artists,35307
Physics and Astronomy,"Physical review. D. Particles, fields, gravitation, and cosmology/Physical review. D, Particles, fields, gravitation, and cosmology",34657
Physics and Astronomy,Physical Review C,34591
Physics and Astronomy,HAL (Le Centre pour la Communication Scientifique Directe),34406
Physics and Astronomy,Nuclear Physics A,32907
Physics and Astronomy,Physical review. B./Physical review. B,32857
Physics and Astronomy,NASA Technical Reports Server (NASA),32451
Physics and Astronomy,Nuclear Instruments and Methods in Physics Research Section A Accelerators Spectrometers Detectors and Associated Equipment,32278
Physics and Astronomy,Physics Letters A,30635
Physics and Astronomy,Physical Review,29231
Physics and Astronomy,Journal of Geophysical Research Atmospheres,29024
Physics and Astronomy,Astronomische Nachrichten,26682
Physics and Astronomy,The Astronomical Journal,26038
Physics and Astronomy,Nuclear Physics B,25791
Physics and Astronomy,Science,24194
Physics and Astronomy,Physica C Superconductivity,22860
Physics and Astronomy,The European Physical Journal C,22330
Physics and Astronomy,Physics of Plasmas,22172
Physics and Astronomy,Elsevier eBooks,22002
Physics and Astronomy,Figshare,21927
Physics and Astronomy,Chemical Physics Letters,21659
Physics and Astronomy,Journal of the Physical Society of Japan,21381
Physics and Astronomy,PubMed,21039
Physics and Astronomy,Japanese Journal of Applied Physics,20827
Physics and Astronomy,Cambridge University Press eBooks,19860
Physics and Astronomy,Optics Express,19137
Physics and Astronomy,Review of Scientific Instruments,19089
Physics and Astronomy,Bulletin of the American Astronomical Society,18921
Physics and Astronomy,Physica B Condensed Matter,18369
Physics and Astronomy,Medical Entomology and Zoology,18355
Physics and Astronomy,AGU Fall Meeting Abstracts,18280
Physics and Astronomy,Medical Physics,18265
Physics and Astronomy,Journal of Magnetism and Magnetic Materials,17995
Physics and Astronomy,Optics Letters,17289
Physics and Astronomy,University of North Texas Digital Library (University of North Texas),17156
Physics and Astronomy,SSRN Electronic Journal,17153
Physics and Astronomy,Solid State Communications,16634
Physics and Astronomy,APS,16470
Physics and Astronomy,Nuclear Physics B - Proceedings Supplements,16322
Physics and Astronomy,"Physical review. A/Physical review, A",16290
Physics and Astronomy,Lunar and Planetary Science Conference,15960
Physics and Astronomy,Physica Scripta,15925
Physics and Astronomy,Journal of Physics Condensed Matter,15841
Physics and Astronomy,AAS,15827
Physics and Astronomy,Proceedings of the International Astronomical Union,15756
Physics and Astronomy,Surface Science,15136
Physics and Astronomy,Symposium - International Astronomical Union,14888
Physics and Astronomy,"Numerical data and functional relationships in science and technology. Group I, Elementary particles, nuclei and atoms",14772
Physics and Astronomy,physica status solidi (b),14405
Physics and Astronomy,Astrophysics and Space Science,14378
Physics and Astronomy,Journal of Mathematical Physics,14291
Physics and Astronomy,Classical and Quantum Gravity,14227
Physics and Astronomy,EPJ Web of Conferences,14197
Physics and Astronomy,Journal of Physics B Atomic Molecular and Optical Physics,14142
Physics and Astronomy,The European Physical Journal A,14108
Physics and Astronomy,Advances in Space Research,13870
Physics and Astronomy,Icarus,13833
Physics and Astronomy,Optics Communications,13804
Physics and Astronomy,Journal of Physics A Mathematical and General,13618
Physics and Astronomy,PhDT,13570
Physics and Astronomy,Harvard Dataverse,13409
Physics and Astronomy,Springer Link (Chiba Institute of Technology),13065
Physics and Astronomy,"Physical review. A, General physics",13064
Physics and Astronomy,CERN Bulletin,12975
Physics and Astronomy,Progress of Theoretical Physics,12861
Physics and Astronomy,Lecture notes in physics,12784
Physics and Astronomy,Physica A Statistical Mechanics and its Applications,12754
Physics and Astronomy,Journal of Cosmology and Astroparticle Physics,12529
Physics and Astronomy,Nuclear Instruments and Methods in Physics Research Section B Beam Interactions with Materials and Atoms,12496
Physics and Astronomy,Geophysical Research Letters,12361
Physics and Astronomy,ArXiv.org,12322
Physics and Astronomy,Journal of Crystal Growth,12107
Physics and Astronomy,Physical Review E,11816
Physics and Astronomy,Publications of the Astronomical Society of the Pacific,11710
Physics and Astronomy,Europhysics Letters (EPL),11671
Physics and Astronomy,AGUFM,11466
Physics and Astronomy,The Journal of Physical Chemistry A,11433
Physics and Astronomy,International Journal of Modern Physics A,11383
Physics and Astronomy,NASA STI Repository (National Aeronautics and Space Administration),11361
Physics and Astronomy,Physics Today,11273
Physics and Astronomy,Nuclear Fusion,11128
Physics and Astronomy,MRS Proceedings,11031
Physics and Astronomy,International Journal of Radiation Oncology*Biology*Physics,10948
Physics and Astronomy,American Journal of Physics,10832
Physics and Astronomy,The Japan Society of Applied Physics,10804
Physics and Astronomy,Acta Physica Sinica,10780
Physics and Astronomy,WORLD SCIENTIFIC eBooks,10745
Physics and Astronomy,The Astrophysical Journal Letters,10614
Physics and Astronomy,Scientific Reports,10537
Physics and Astronomy,Physical review. C,10503
Physics and Astronomy,Modern Physics Letters A,10454
Physics and Astronomy,Radiotherapy and Oncology,10428
Physics and Astronomy,Conference on Lasers and Electro-Optics,10240
Physics and Astronomy,viXra,10237
Physics and Astronomy,Solar Physics,10230
Physics and Astronomy,IEEE Transactions on Magnetics,10184
Physics and Astronomy,LPI,10156
Physics and Astronomy,CERN Document Server (European Organization for Nuclear Research),10022
Physics and Astronomy,Annalen der Physik,10003
Physics and Astronomy,"Physical review. E, Statistical physics, plasmas, fluids, and related interdisciplinary topics",9903
Physics and Astronomy,IEEE Transactions on Nuclear Science,9858
Physics and Astronomy,Annals of Physics,9597
Physics and Astronomy,ChemInform,9597
Physics and Astronomy,IEEE Transactions on Applied Superconductivity,9561
Physics and Astronomy,Astrophysics and space science library,9542
Physics and Astronomy,The Journal of Physical Chemistry,9363
Physics and Astronomy,International Astronomical Union Colloquium,8989
Physics and Astronomy,Journal of Geophysical Research Space Physics,8942
Physics and Astronomy,Chinese Physics Letters,8903
Physics and Astronomy,Planetary and Space Science,8724
Physics and Astronomy,APS March Meeting Abstracts,8723
Physics and Astronomy,Applied Optics,8717
Physics and Astronomy,Oxford Music Online,8701
Physics and Astronomy,Journal of Low Temperature Physics,8666
Physics and Astronomy,Physical review. E,8573
Physics and Astronomy,Journal of Instrumentation,8407
Physics and Astronomy,New Journal of Physics,8276
Physics and Astronomy,The European Physical Journal B,8250
Physics and Astronomy,Plasma Physics and Controlled Fusion,8145
Physics and Astronomy,Journal of Physics G Nuclear and Particle Physics,8043
Physics and Astronomy,Nuclear Instruments and Methods,7963
Physics and Astronomy,Canadian Journal of Physics,7917
Physics and Astronomy,Journal of Physics A Mathematical and Theoretical,7874
Physics and Astronomy,Journal of Experimental and Theoretical Physics,7810
Physics and Astronomy,Physical Chemistry Chemical Physics,7739
Physics and Astronomy,Chemical Physics,7702
Physics and Astronomy,Journal of the Optical Society of America B,7667
Physics and Astronomy,International Journal of Quantum Chemistry,7653
Physics and Astronomy,Lecture notes in computer science,7522
Physics and Astronomy,American Astronomical Society Meeting Abstracts,7212
Physics and Astronomy,Molecular Physics,7171
Physics and Astronomy,Chinese Physics B,7118
Physics and Astronomy,The Astrophysical Journal Supplement Series,7048
Physics and Astronomy,Journal of Physics B Atomic and Molecular Physics,6969
Physics and Astronomy,General Relativity and Gravitation,6966
Physics and Astronomy,Scientific American,6912
Physics and Astronomy,Communications in Theoretical Physics,6881
Physics and Astronomy,Superconductor Science and Technology,6848
Physics and Astronomy,Journal of the American Chemical Society,6804
Physics and Astronomy,International Journal of Theoretical Physics,6726
Physics and Astronomy,Journal of Physics D Applied Physics,6650
Physics and Astronomy,"Nuovo cimento della Società italiana di fisica. A, Nuclei, particles and fields",6588
Physics and Astronomy,Chaos Solitons & Fractals,6510
Physics and Astronomy,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas),6444
Physics and Astronomy,Nature Communications,6427
Physics and Astronomy,International Journal of Modern Physics B,6409
Physics and Astronomy,International Cosmic Ray Conference,6402
Physics and Astronomy,Journal of Alloys and Compounds,6386
Physics and Astronomy,ASPC,6385
Physics and Astronomy,Physics of Atomic Nuclei,6305
Physics and Astronomy,Vacuum,6230
Physics and Astronomy,ZooKeys,6209
Physics and Astronomy,SHILAP Revista de lepidopterología,6208
Physics and Astronomy,Springer proceedings in physics,6187
Physics and Astronomy,Journal of Physics C Solid State Physics,6155
Physics and Astronomy,The Physics of Fluids,6073
Physics and Astronomy,physica status solidi (a),6052
Physics and Astronomy,Electronics Letters,6046
Physics and Astronomy,IEEE Transactions on Electron Devices,5980
Physics and Astronomy,IEEE Transactions on Plasma Science,5961
Physics and Astronomy,Oxford University Press eBooks,5937
Physics and Astronomy,The Journal of Physical Chemistry B,5894
Physics and Astronomy,cosp,5766
Physics and Astronomy,"Physical review. B, Solid state",5591
Physics and Astronomy,Publications of the Astronomical Society of Japan,5590
Physics and Astronomy,Journal of Radioanalytical and Nuclear Chemistry,5574
Physics and Astronomy,Computer Physics Communications,5538
Physics and Astronomy,Il Nuovo Cimento,5535
Physics and Astronomy,Physical Review Research,5513
Physics and Astronomy,Physica E Low-dimensional Systems and Nanostructures,5494
Physics and Astronomy,Sky and Telescope,5437
Physics and Astronomy,Preprints.org,5380
Physics and Astronomy,The New Scientist,5374
Physics and Astronomy,Journal of Experimental and Theoretical Physics Letters,5361
Physics and Astronomy,Data Archiving and Networked Services (DANS),5352
Physics and Astronomy,Russian Physics Journal,5303
Physics and Astronomy,Journal of Statistical Physics,5301
Physics and Astronomy,Optik,5286
Physics and Astronomy,GRB Coordinates Network,5272
Physics and Astronomy,Physics in Medicine and Biology,5242
Physics and Astronomy,Theoretical and Mathematical Physics,5229
Physics and Astronomy,Pramana,5213
Physics and Astronomy,Journal of the Optical Society of America A,5204
Physics and Astronomy,Applied Surface Science,5184
Physics and Astronomy,Lettere al nuovo cimento della societa italiana di fisica/Lettere al nuovo cimento,5180
Physics and Astronomy,Thin Solid Films,5152
Physics and Astronomy,elib (German Aerospace Center),5107
Physics and Astronomy,Meteoritics and Planetary Science,5101
Physics and Astronomy,The European Physical Journal Plus,5025
Physics and Astronomy,International Journal of Modern Physics D,5014
Physics and Astronomy,Springer theses,4997
Physics and Astronomy,Czechoslovak Journal of Physics,4946
Physics and Astronomy,Optics and Spectroscopy,4945
Physics and Astronomy,Proceedings of the National Academy of Sciences,4922
Physics and Astronomy,Nuclear Physics,4894
Physics and Astronomy,Annales Geophysicae,4812
Physics and Astronomy,Fusion Engineering and Design,4763
Physics and Astronomy,The European Physical Journal D,4762
Physics and Astronomy,DSpace@MIT (Massachusetts Institute of Technology),4731
Physics and Astronomy,DPS,4731
Physics and Astronomy,"Physica status solidi. C, Conferences and critical reviews/Physica status solidi. C, Current topics in solid state physics",4697
Physics and Astronomy,IEEE Journal of Quantum Electronics,4654
Physics and Astronomy,The astronomer's telegram,4620
Physics and Astronomy,Oxford Art Online,4609
Physics and Astronomy,Communications in Mathematical Physics,4568
Physics and Astronomy,MPG.PuRe (Max Planck Society),4545
Physics and Astronomy,ICRC,4507
Physics and Astronomy,Modern Physics Letters B,4501
Physics and Astronomy,Journal of Atmospheric and Terrestrial Physics,4492
Physics and Astronomy,Dialnet (Universidad de la Rioja),4480
Physics and Astronomy,Dictionary of Irish Biography,4463
Physics and Astronomy,OpenGrey (Institut de l'Information Scientifique et Technique),4440
Physics and Astronomy,Space Science Reviews,4440
Physics and Astronomy,Semiconductor Science and Technology,4434
Physics and Astronomy,APS Division of Plasma Physics Meeting Abstracts,4398
Physics and Astronomy,Hyperfine Interactions,4394
Physics and Astronomy,The Physics Teacher,4364
Physics and Astronomy,NATO ASI series. Series B : Physics,4346
Physics and Astronomy,Journal of Physics and Chemistry of Solids,4324
Physics and Astronomy,Chinese Physics C,4260
Physics and Astronomy,eScholarship (California Digital Library),4248
Physics and Astronomy,Journal of Modern Optics,4228
Physics and Astronomy,Journal of the Korean Physical Society,4222
Physics and Astronomy,Encyclopédie de l’Islam,4206
Physics and Astronomy,Observatory,4184
Physics and Astronomy,Journal of Plasma Physics,4182
Physics and Astronomy,African American Studies Center,4181
Physics and Astronomy,Progress of Theoretical Physics Supplement,4114
Physics and Astronomy,Applied Physics B,4111
Physics and Astronomy,Applied Radiation and Isotopes,4076
Physics and Astronomy,Physica D Nonlinear Phenomena,4069
Physics and Astronomy,Superlattices and Microstructures,4066
Physics and Astronomy,Zeitschrift für Naturforschung A,3981
Physics and Astronomy,Journal of Chemical Theory and Computation,3906
Physics and Astronomy,Sov. J. Nucl. Phys. (Engl. Transl.); (United States),3903
Physics and Astronomy,Research Square (Research Square),3879
Physics and Astronomy,AIP Advances,3831
Physics and Astronomy,Physics World,3830
Physics and Astronomy,International Astronomical Union Circular,3830
Physics and Astronomy,Radio Science,3815
Physics and Astronomy,EGU General Assembly Conference Abstracts,3806
Physics and Astronomy,Princeton University Press eBooks,3783
Physics and Astronomy,Acta Physica Polonica A,3764
Physics and Astronomy,LPICo,3738
Physics and Astronomy,International Journal of Modern Physics E,3720
Physics and Astronomy,Journal of the Franklin Institute,3693
Physics and Astronomy,Solid-State Electronics,3691
Physics and Astronomy,APS April Meeting Abstracts,3676
Physics and Astronomy,The Journal of the Acoustical Society of America,3667
Physics and Astronomy,Geomagnetism and Aeronomy,3657
Physics and Astronomy,Radiophysics and Quantum Electronics,3653
Physics and Astronomy,Monthly Notices of the Royal Astronomical Society Letters,3651
