Field,Year,Works
Agricultural and Biological Sciences,1800,276
Agricultural and Biological Sciences,1827,267
Agricultural and Biological Sciences,1828,303
Agricultural and Biological Sciences,1829,292
Agricultural and Biological Sciences,1830,280
Agricultural and Biological Sciences,1831,267
Agricultural and Biological Sciences,1833,306
Agricultural and Biological Sciences,1834,328
Agricultural and Biological Sciences,1835,363
Agricultural and Biological Sciences,1836,430
Agricultural and Biological Sciences,1837,689
Agricultural and Biological Sciences,1838,515
Agricultural and Biological Sciences,1839,452
Agricultural and Biological Sciences,1840,565
Agricultural and Biological Sciences,1841,552
Agricultural and Biological Sciences,1842,649
Agricultural and Biological Sciences,1843,573
Agricultural and Biological Sciences,1844,591
Agricultural and Biological Sciences,1845,617
Agricultural and Biological Sciences,1846,714
Agricultural and Biological Sciences,1847,711
Agricultural and Biological Sciences,1848,1028
Agricultural and Biological Sciences,1849,751
Agricultural and Biological Sciences,1850,690
Agricultural and Biological Sciences,1851,839
Agricultural and Biological Sciences,1852,987
Agricultural and Biological Sciences,1853,938
Agricultural and Biological Sciences,1854,1009
Agricultural and Biological Sciences,1855,1000
Agricultural and Biological Sciences,1856,1059
Agricultural and Biological Sciences,1857,1103
Agricultural and Biological Sciences,1858,1244
Agricultural and Biological Sciences,1859,1021
Agricultural and Biological Sciences,1860,1076
Agricultural and Biological Sciences,1861,899
Agricultural and Biological Sciences,1862,1034
Agricultural and Biological Sciences,1863,1124
Agricultural and Biological Sciences,1864,950
Agricultural and Biological Sciences,1865,992
Agricultural and Biological Sciences,1866,1019
Agricultural and Biological Sciences,1867,1169
Agricultural and Biological Sciences,1868,1297
Agricultural and Biological Sciences,1869,1351
Agricultural and Biological Sciences,1870,1324
Agricultural and Biological Sciences,1871,1316
Agricultural and Biological Sciences,1872,1367
Agricultural and Biological Sciences,1873,1602
Agricultural and Biological Sciences,1874,1641
Agricultural and Biological Sciences,1875,1557
Agricultural and Biological Sciences,1876,1745
Agricultural and Biological Sciences,1877,1802
Agricultural and Biological Sciences,1878,1868
Agricultural and Biological Sciences,1879,2011
Agricultural and Biological Sciences,1880,2206
Agricultural and Biological Sciences,1881,2083
Agricultural and Biological Sciences,1882,2136
Agricultural and Biological Sciences,1883,2303
Agricultural and Biological Sciences,1884,2328
Agricultural and Biological Sciences,1885,2363
Agricultural and Biological Sciences,1886,2391
Agricultural and Biological Sciences,1887,2541
Agricultural and Biological Sciences,1888,2625
Agricultural and Biological Sciences,1889,2671
Agricultural and Biological Sciences,1890,2709
Agricultural and Biological Sciences,1891,2681
Agricultural and Biological Sciences,1892,2798
Agricultural and Biological Sciences,1893,2835
Agricultural and Biological Sciences,1894,2855
Agricultural and Biological Sciences,1895,3207
Agricultural and Biological Sciences,1896,3444
Agricultural and Biological Sciences,1897,3460
Agricultural and Biological Sciences,1898,3545
Agricultural and Biological Sciences,1899,3567
Agricultural and Biological Sciences,1900,4401
Agricultural and Biological Sciences,1901,3894
Agricultural and Biological Sciences,1902,3975
Agricultural and Biological Sciences,1903,4105
Agricultural and Biological Sciences,1904,3998
Agricultural and Biological Sciences,1905,4296
Agricultural and Biological Sciences,1906,4727
Agricultural and Biological Sciences,1907,4917
Agricultural and Biological Sciences,1908,5055
Agricultural and Biological Sciences,1909,5129
Agricultural and Biological Sciences,1910,5929
Agricultural and Biological Sciences,1911,5752
Agricultural and Biological Sciences,1912,5985
Agricultural and Biological Sciences,1913,6296
Agricultural and Biological Sciences,1914,6027
Agricultural and Biological Sciences,1915,5837
Agricultural and Biological Sciences,1916,5787
Agricultural and Biological Sciences,1917,5581
Agricultural and Biological Sciences,1918,5239
Agricultural and Biological Sciences,1919,5422
Agricultural and Biological Sciences,1920,6528
Agricultural and Biological Sciences,1921,6553
Agricultural and Biological Sciences,1922,7070
Agricultural and Biological Sciences,1923,7133
Agricultural and Biological Sciences,1924,7857
