Field,Year,Works
"Biochemistry, Genetics and Molecular Biology",1597,146
"Biochemistry, Genetics and Molecular Biology",1600,158
"Biochemistry, Genetics and Molecular Biology",1623,843
"Biochemistry, Genetics and Molecular Biology",1829,134
"Biochemistry, Genetics and Molecular Biology",1831,133
"Biochemistry, Genetics and Molecular Biology",1832,289
"Biochemistry, Genetics and Molecular Biology",1833,186
"Biochemistry, Genetics and Molecular Biology",1834,163
"Biochemistry, Genetics and Molecular Biology",1835,159
"Biochemistry, Genetics and Molecular Biology",1836,176
"Biochemistry, Genetics and Molecular Biology",1837,210
"Biochemistry, Genetics and Molecular Biology",1838,194
"Biochemistry, Genetics and Molecular Biology",1839,213
"Biochemistry, Genetics and Molecular Biology",1840,178
"Biochemistry, Genetics and Molecular Biology",1841,249
"Biochemistry, Genetics and Molecular Biology",1842,253
"Biochemistry, Genetics and Molecular Biology",1843,317
"Biochemistry, Genetics and Molecular Biology",1844,259
"Biochemistry, Genetics and Molecular Biology",1845,222
"Biochemistry, Genetics and Molecular Biology",1846,318
"Biochemistry, Genetics and Molecular Biology",1847,327
"Biochemistry, Genetics and Molecular Biology",1848,534
"Biochemistry, Genetics and Molecular Biology",1849,545
"Biochemistry, Genetics and Molecular Biology",1850,357
"Biochemistry, Genetics and Molecular Biology",1851,366
"Biochemistry, Genetics and Molecular Biology",1852,371
"Biochemistry, Genetics and Molecular Biology",1853,388
"Biochemistry, Genetics and Molecular Biology",1854,518
"Biochemistry, Genetics and Molecular Biology",1855,387
"Biochemistry, Genetics and Molecular Biology",1856,422
"Biochemistry, Genetics and Molecular Biology",1857,460
"Biochemistry, Genetics and Molecular Biology",1858,515
"Biochemistry, Genetics and Molecular Biology",1859,437
"Biochemistry, Genetics and Molecular Biology",1860,422
"Biochemistry, Genetics and Molecular Biology",1861,439
"Biochemistry, Genetics and Molecular Biology",1862,397
"Biochemistry, Genetics and Molecular Biology",1863,494
"Biochemistry, Genetics and Molecular Biology",1864,469
"Biochemistry, Genetics and Molecular Biology",1865,454
"Biochemistry, Genetics and Molecular Biology",1866,615
"Biochemistry, Genetics and Molecular Biology",1867,557
"Biochemistry, Genetics and Molecular Biology",1868,555
"Biochemistry, Genetics and Molecular Biology",1869,663
"Biochemistry, Genetics and Molecular Biology",1870,614
"Biochemistry, Genetics and Molecular Biology",1871,667
"Biochemistry, Genetics and Molecular Biology",1872,633
"Biochemistry, Genetics and Molecular Biology",1873,742
"Biochemistry, Genetics and Molecular Biology",1874,715
"Biochemistry, Genetics and Molecular Biology",1875,672
"Biochemistry, Genetics and Molecular Biology",1876,721
"Biochemistry, Genetics and Molecular Biology",1877,808
"Biochemistry, Genetics and Molecular Biology",1878,883
"Biochemistry, Genetics and Molecular Biology",1879,940
"Biochemistry, Genetics and Molecular Biology",1880,924
"Biochemistry, Genetics and Molecular Biology",1881,957
"Biochemistry, Genetics and Molecular Biology",1882,920
"Biochemistry, Genetics and Molecular Biology",1883,1154
"Biochemistry, Genetics and Molecular Biology",1884,1131
"Biochemistry, Genetics and Molecular Biology",1885,1164
"Biochemistry, Genetics and Molecular Biology",1886,1004
"Biochemistry, Genetics and Molecular Biology",1887,1112
"Biochemistry, Genetics and Molecular Biology",1888,1106
"Biochemistry, Genetics and Molecular Biology",1889,1200
"Biochemistry, Genetics and Molecular Biology",1890,1093
"Biochemistry, Genetics and Molecular Biology",1891,1085
"Biochemistry, Genetics and Molecular Biology",1892,1378
"Biochemistry, Genetics and Molecular Biology",1893,1508
"Biochemistry, Genetics and Molecular Biology",1894,1582
"Biochemistry, Genetics and Molecular Biology",1895,1602
"Biochemistry, Genetics and Molecular Biology",1896,1608
"Biochemistry, Genetics and Molecular Biology",1897,1543
"Biochemistry, Genetics and Molecular Biology",1898,1623
