Field,Year,Works
"Economics, Econometrics and Finance",1800,102
"Economics, Econometrics and Finance",1820,62
"Economics, Econometrics and Finance",1823,115
"Economics, Econometrics and Finance",1827,82
"Economics, Econometrics and Finance",1828,73
"Economics, Econometrics and Finance",1830,77
"Economics, Econometrics and Finance",1832,63
"Economics, Econometrics and Finance",1834,73
"Economics, Econometrics and Finance",1835,79
"Economics, Econometrics and Finance",1836,80
"Economics, Econometrics and Finance",1837,77
"Economics, Econometrics and Finance",1838,84
"Economics, Econometrics and Finance",1839,88
"Economics, Econometrics and Finance",1840,115
"Economics, Econometrics and Finance",1841,148
"Economics, Econometrics and Finance",1842,141
"Economics, Econometrics and Finance",1843,130
"Economics, Econometrics and Finance",1844,116
"Economics, Econometrics and Finance",1845,136
"Economics, Econometrics and Finance",1846,157
"Economics, Econometrics and Finance",1847,251
"Economics, Econometrics and Finance",1848,207
"Economics, Econometrics and Finance",1849,214
"Economics, Econometrics and Finance",1850,285
"Economics, Econometrics and Finance",1851,300
"Economics, Econometrics and Finance",1852,334
"Economics, Econometrics and Finance",1853,358
"Economics, Econometrics and Finance",1854,281
"Economics, Econometrics and Finance",1855,312
"Economics, Econometrics and Finance",1856,355
"Economics, Econometrics and Finance",1857,395
"Economics, Econometrics and Finance",1858,390
"Economics, Econometrics and Finance",1859,444
"Economics, Econometrics and Finance",1860,374
"Economics, Econometrics and Finance",1861,310
"Economics, Econometrics and Finance",1862,315
"Economics, Econometrics and Finance",1863,355
"Economics, Econometrics and Finance",1864,354
"Economics, Econometrics and Finance",1865,274
"Economics, Econometrics and Finance",1866,330
"Economics, Econometrics and Finance",1867,349
"Economics, Econometrics and Finance",1868,314
"Economics, Econometrics and Finance",1869,321
"Economics, Econometrics and Finance",1870,389
"Economics, Econometrics and Finance",1871,338
"Economics, Econometrics and Finance",1872,371
"Economics, Econometrics and Finance",1873,390
"Economics, Econometrics and Finance",1874,453
"Economics, Econometrics and Finance",1875,425
"Economics, Econometrics and Finance",1876,497
"Economics, Econometrics and Finance",1877,506
"Economics, Econometrics and Finance",1878,527
"Economics, Econometrics and Finance",1879,557
"Economics, Econometrics and Finance",1880,578
"Economics, Econometrics and Finance",1881,529
"Economics, Econometrics and Finance",1882,556
"Economics, Econometrics and Finance",1883,605
"Economics, Econometrics and Finance",1884,576
"Economics, Econometrics and Finance",1885,603
"Economics, Econometrics and Finance",1886,736
"Economics, Econometrics and Finance",1887,758
"Economics, Econometrics and Finance",1888,772
"Economics, Econometrics and Finance",1889,775
"Economics, Econometrics and Finance",1890,816
"Economics, Econometrics and Finance",1891,813
"Economics, Econometrics and Finance",1892,851
"Economics, Econometrics and Finance",1893,969
"Economics, Econometrics and Finance",1894,950
"Economics, Econometrics and Finance",1895,976
"Economics, Econometrics and Finance",1896,1117
"Economics, Econometrics and Finance",1897,1106
"Economics, Econometrics and Finance",1898,1052
"Economics, Econometrics and Finance",1899,1116
"Economics, Econometrics and Finance",1900,1541
"Economics, Econometrics and Finance",1901,1467
"Economics, Econometrics and Finance",1902,1470
"Economics, Econometrics and Finance",1903,1400
"Economics, Econometrics and Finance",1904,1460
"Economics, Econometrics and Finance",1905,1430
"Economics, Econometrics and Finance",1906,1439
"Economics, Econometrics and Finance",1907,1599
"Economics, Econometrics and Finance",1908,1492
"Economics, Econometrics and Finance",1909,1592
"Economics, Econometrics and Finance",1910,1781
"Economics, Econometrics and Finance",1911,1834
"Economics, Econometrics and Finance",1912,1850
"Economics, Econometrics and Finance",1913,1954
"Economics, Econometrics and Finance",1914,1912
"Economics, Econometrics and Finance",1915,1814
"Economics, Econometrics and Finance",1916,1752
"Economics, Econometrics and Finance",1917,1631
"Economics, Econometrics and Finance",1918,1543
"Economics, Econometrics and Finance",1919,1703
"Economics, Econometrics and Finance",1920,1925
"Economics, Econometrics and Finance",1921,2069
"Economics, Econometrics and Finance",1922,2041
"Economics, Econometrics and Finance",1923,2163
"Economics, Econometrics and Finance",1924,2212
"Economics, Econometrics and Finance",1925,2417
"Economics, Econometrics and Finance",1926,2477
"Economics, Econometrics and Finance",1927,2705
"Economics, Econometrics and Finance",1928,2807
"Economics, Econometrics and Finance",1929,2790
"Economics, Econometrics and Finance",1930,3109
"Economics, Econometrics and Finance",1931,3049
"Economics, Econometrics and Finance",1932,3220
"Economics, Econometrics and Finance",1933,3198
"Economics, Econometrics and Finance",1934,3254
"Economics, Econometrics and Finance",1935,3261
"Economics, Econometrics and Finance",1936,3309
"Economics, Econometrics and Finance",1937,3274
"Economics, Econometrics and Finance",1938,3327
"Economics, Econometrics and Finance",1939,3408
"Economics, Econometrics and Finance",1940,3214
"Economics, Econometrics and Finance",1941,2840
"Economics, Econometrics and Finance",1942,2731
"Economics, Econometrics and Finance",1943,2365
"Economics, Econometrics and Finance",1944,2189
"Economics, Econometrics and Finance",1945,2307
"Economics, Econometrics and Finance",1946,2984
"Economics, Econometrics and Finance",1947,3269
"Economics, Econometrics and Finance",1948,3433
"Economics, Econometrics and Finance",1949,3798
"Economics, Econometrics and Finance",1950,4657
"Economics, Econometrics and Finance",1951,4854
"Economics, Econometrics and Finance",1952,4774
"Economics, Econometrics and Finance",1953,4949
"Economics, Econometrics and Finance",1954,5506
"Economics, Econometrics and Finance",1955,5382
"Economics, Econometrics and Finance",1956,5157
"Economics, Econometrics and Finance",1957,5661
"Economics, Econometrics and Finance",1958,5949
"Economics, Econometrics and Finance",1959,6355
"Economics, Econometrics and Finance",1960,6840
"Economics, Econometrics and Finance",1961,6883
"Economics, Econometrics and Finance",1962,7504
"Economics, Econometrics and Finance",1963,7722
"Economics, Econometrics and Finance",1964,8505
"Economics, Econometrics and Finance",1965,8545
"Economics, Econometrics and Finance",1966,9030
"Economics, Econometrics and Finance",1967,9767
"Economics, Econometrics and Finance",1968,10616
"Economics, Econometrics and Finance",1969,12044
"Economics, Econometrics and Finance",1970,13907
"Economics, Econometrics and Finance",1971,13058
"Economics, Econometrics and Finance",1972,14149
"Economics, Econometrics and Finance",1973,14975
"Economics, Econometrics and Finance",1974,15953
"Economics, Econometrics and Finance",1975,17717
"Economics, Econometrics and Finance",1976,18340
"Economics, Econometrics and Finance",1977,19183
"Economics, Econometrics and Finance",1978,20803
"Economics, Econometrics and Finance",1979,21800
"Economics, Econometrics and Finance",1980,23433
"Economics, Econometrics and Finance",1981,23690
"Economics, Econometrics and Finance",1982,23416
"Economics, Econometrics and Finance",1983,25461
"Economics, Econometrics and Finance",1984,26486
"Economics, Econometrics and Finance",1985,27594
"Economics, Econometrics and Finance",1986,30355
"Economics, Econometrics and Finance",1987,32802
"Economics, Econometrics and Finance",1988,34685
"Economics, Econometrics and Finance",1989,37364
"Economics, Econometrics and Finance",1990,39702
"Economics, Econometrics and Finance",1991,40955
"Economics, Econometrics and Finance",1992,43671
"Economics, Econometrics and Finance",1993,46101
"Economics, Econometrics and Finance",1994,48994
"Economics, Econometrics and Finance",1995,52436
"Economics, Econometrics and Finance",1996,55694
"Economics, Econometrics and Finance",1997,59026
"Economics, Econometrics and Finance",1998,64035
"Economics, Econometrics and Finance",1999,68253
"Economics, Econometrics and Finance",2000,80808
"Economics, Econometrics and Finance",2001,85188
"Economics, Econometrics and Finance",2002,95855
"Economics, Econometrics and Finance",2003,104275
"Economics, Econometrics and Finance",2004,113957
"Economics, Econometrics and Finance",2005,119657
"Economics, Econometrics and Finance",2006,129092
"Economics, Econometrics and Finance",2007,151707
"Economics, Econometrics and Finance",2008,156389
"Economics, Econometrics and Finance",2009,175440
"Economics, Econometrics and Finance",2010,187560
"Economics, Econometrics and Finance",2011,204861
"Economics, Econometrics and Finance",2012,219996
"Economics, Econometrics and Finance",2013,228601
"Economics, Econometrics and Finance",2014,237508
"Economics, Econometrics and Finance",2015,238876
"Economics, Econometrics and Finance",2016,242400
"Economics, Econometrics and Finance",2017,245450
"Economics, Econometrics and Finance",2018,242087
"Economics, Econometrics and Finance",2019,246627
"Economics, Econometrics and Finance",2020,262590
"Economics, Econometrics and Finance",2021,227677
"Economics, Econometrics and Finance",2022,199678
"Economics, Econometrics and Finance",2023,244639
"Economics, Econometrics and Finance",2024,237988
"Economics, Econometrics and Finance",2025,206497
"Economics, Econometrics and Finance",2026,27671
