Field,Year,Works
Physics and Astronomy,1823,215
Physics and Astronomy,1825,180
Physics and Astronomy,1826,237
Physics and Astronomy,1827,206
Physics and Astronomy,1831,287
Physics and Astronomy,1832,225
Physics and Astronomy,1833,334
Physics and Astronomy,1834,213
Physics and Astronomy,1835,221
Physics and Astronomy,1836,210
Physics and Astronomy,1837,284
Physics and Astronomy,1838,178
Physics and Astronomy,1839,170
Physics and Astronomy,1840,200
Physics and Astronomy,1841,178
Physics and Astronomy,1842,215
Physics and Astronomy,1843,277
Physics and Astronomy,1844,249
Physics and Astronomy,1845,280
Physics and Astronomy,1846,430
Physics and Astronomy,1847,441
Physics and Astronomy,1848,394
Physics and Astronomy,1849,385
Physics and Astronomy,1850,422
Physics and Astronomy,1851,535
Physics and Astronomy,1852,531
Physics and Astronomy,1853,501
Physics and Astronomy,1854,508
Physics and Astronomy,1855,518
Physics and Astronomy,1856,424
Physics and Astronomy,1857,586
Physics and Astronomy,1858,552
Physics and Astronomy,1859,519
Physics and Astronomy,1860,558
Physics and Astronomy,1861,511
Physics and Astronomy,1862,611
Physics and Astronomy,1863,504
Physics and Astronomy,1864,460
Physics and Astronomy,1865,523
Physics and Astronomy,1866,504
Physics and Astronomy,1867,547
Physics and Astronomy,1868,538
Physics and Astronomy,1869,613
Physics and Astronomy,1870,719
Physics and Astronomy,1871,651
Physics and Astronomy,1872,807
Physics and Astronomy,1873,930
Physics and Astronomy,1874,794
Physics and Astronomy,1875,760
Physics and Astronomy,1876,765
Physics and Astronomy,1877,910
Physics and Astronomy,1878,1128
Physics and Astronomy,1879,1062
Physics and Astronomy,1880,1107
Physics and Astronomy,1881,1240
Physics and Astronomy,1882,1277
Physics and Astronomy,1883,1214
Physics and Astronomy,1884,1337
Physics and Astronomy,1885,1192
Physics and Astronomy,1886,1422
Physics and Astronomy,1887,1140
Physics and Astronomy,1888,1281
Physics and Astronomy,1889,1393
Physics and Astronomy,1890,1449
Physics and Astronomy,1891,1495
Physics and Astronomy,1892,1425
Physics and Astronomy,1893,1437
Physics and Astronomy,1894,1387
Physics and Astronomy,1895,1464
Physics and Astronomy,1896,1627
Physics and Astronomy,1897,1468
Physics and Astronomy,1898,1444
Physics and Astronomy,1899,1540
Physics and Astronomy,1900,1532
Physics and Astronomy,1901,1519
Physics and Astronomy,1902,1542
Physics and Astronomy,1903,1680
Physics and Astronomy,1904,1616
Physics and Astronomy,1905,1700
Physics and Astronomy,1906,1575
Physics and Astronomy,1907,1610
Physics and Astronomy,1908,1734
Physics and Astronomy,1909,1752
Physics and Astronomy,1910,1882
Physics and Astronomy,1911,1879
Physics and Astronomy,1912,1682
Physics and Astronomy,1913,1742
Physics and Astronomy,1914,1907
Physics and Astronomy,1915,1492
Physics and Astronomy,1916,1406
Physics and Astronomy,1917,1353
Physics and Astronomy,1918,1501
Physics and Astronomy,1919,1398
Physics and Astronomy,1920,1639
Physics and Astronomy,1921,1844
Physics and Astronomy,1922,2249
Physics and Astronomy,1923,2177
Physics and Astronomy,1924,2362
Physics and Astronomy,1925,2431
Physics and Astronomy,1926,2465
Physics and Astronomy,1927,2763
Physics and Astronomy,1928,2812
Physics and Astronomy,1929,2781
Physics and Astronomy,1930,3061
Physics and Astronomy,1931,2961
Physics and Astronomy,1932,3199
Physics and Astronomy,1933,3134
Physics and Astronomy,1934,3191
Physics and Astronomy,1935,3214
Physics and Astronomy,1936,3495
Physics and Astronomy,1937,3178
Physics and Astronomy,1938,3211
Physics and Astronomy,1939,3201
Physics and Astronomy,1940,2681
Physics and Astronomy,1941,2409
Physics and Astronomy,1942,2048
Physics and Astronomy,1943,1884
Physics and Astronomy,1944,1579
Physics and Astronomy,1945,1624
Physics and Astronomy,1946,2637
Physics and Astronomy,1947,2807
Physics and Astronomy,1948,3773
Physics and Astronomy,1949,4812
Physics and Astronomy,1950,5437
Physics and Astronomy,1951,5732
Physics and Astronomy,1952,5934
Physics and Astronomy,1953,6165
Physics and Astronomy,1954,6630
Physics and Astronomy,1955,6917
Physics and Astronomy,1956,7987
Physics and Astronomy,1957,8789
Physics and Astronomy,1958,10752
Physics and Astronomy,1959,11507
Physics and Astronomy,1960,13897
Physics and Astronomy,1961,15023
Physics and Astronomy,1962,17068
Physics and Astronomy,1963,20040
Physics and Astronomy,1964,20346
Physics and Astronomy,1965,23366
Physics and Astronomy,1966,25661
Physics and Astronomy,1967,28705
Physics and Astronomy,1968,30716
Physics and Astronomy,1969,33735
Physics and Astronomy,1970,35549
Physics and Astronomy,1971,37557
Physics and Astronomy,1972,40864
Physics and Astronomy,1973,45032
Physics and Astronomy,1974,46845
Physics and Astronomy,1975,47095
Physics and Astronomy,1976,45610
Physics and Astronomy,1977,46977
Physics and Astronomy,1978,47246
Physics and Astronomy,1979,50381
Physics and Astronomy,1980,51594
Physics and Astronomy,1981,54918
Physics and Astronomy,1982,52831
Physics and Astronomy,1983,57104
Physics and Astronomy,1984,59454
Physics and Astronomy,1985,63093
Physics and Astronomy,1986,66529
Physics and Astronomy,1987,72185
Physics and Astronomy,1988,76337
Physics and Astronomy,1989,79753
Physics and Astronomy,1990,84231
Physics and Astronomy,1991,87674
Physics and Astronomy,1992,90602
Physics and Astronomy,1993,96239
Physics and Astronomy,1994,99200
Physics and Astronomy,1995,100242
Physics and Astronomy,1996,107914
Physics and Astronomy,1997,110371
Physics and Astronomy,1998,114903
Physics and Astronomy,1999,116389
Physics and Astronomy,2000,123653
Physics and Astronomy,2001,134868
Physics and Astronomy,2002,148030
Physics and Astronomy,2003,155167
Physics and Astronomy,2004,153761
Physics and Astronomy,2005,169692
Physics and Astronomy,2006,173643
Physics and Astronomy,2007,178819
Physics and Astronomy,2008,180129
Physics and Astronomy,2009,194602
Physics and Astronomy,2010,185279
Physics and Astronomy,2011,229955
Physics and Astronomy,2012,198526
Physics and Astronomy,2013,206943
Physics and Astronomy,2014,220280
Physics and Astronomy,2015,212946
Physics and Astronomy,2016,213228
Physics and Astronomy,2017,209474
Physics and Astronomy,2018,213545
Physics and Astronomy,2019,221324
Physics and Astronomy,2020,213473
Physics and Astronomy,2021,202560
Physics and Astronomy,2022,201194
Physics and Astronomy,2023,222862
Physics and Astronomy,2024,207667
Physics and Astronomy,2025,213665
Physics and Astronomy,2026,65734
